state,req_to_wear_body_cams,body_cam_funding,open_records_laws,at_least_one_effort
Alabama,1,1,1,1
Alaska,1,1,1,1
Arizona,1,1,1,1
Arkansas,1,1,1,1
California,2,2,2,2
Colorado,1,2,1,2
Connecticut,2,2,2,2
Delaware,1,1,1,1
District of Columbia,1,2,2,2
Florida,2,2,2,2
Georgia,1,1,2,2
Hawaii,1,1,1,1
Idaho,1,1,1,1
Illinois,1,2,2,2
Indiana,1,1,2,2
Iowa,1,1,1,1
Kansas,1,1,2,2
Kentucky,1,2,1,2
Louisiana,1,1,2,2
Maine,1,1,1,1
Maryland,1,1,1,1
Massachusetts,1,2,1,2
Michigan,1,1,2,2
Minnesota,1,1,2,2
Mississippi,1,1,1,1
Missouri,1,1,2,2
Montana,1,1,1,1
Nebraska,1,1,1,1
Nevada,2,2,2,2
New Hampshire,1,1,2,2
New Jersey,1,2,1,2
New Mexico,1,1,1,1
New York,1,1,1,1
North Carolina,1,2,2,2
North Dakota,1,1,2,2
Ohio,1,1,1,1
Oklahoma,1,1,2,2
Oregon,1,1,2,2
Pennsylvania,1,2,2,2
Puerto Rico,1,1,1,1
Rhode Island,1,1,1,1
South Carolina,2,2,2,2
South Dakota,1,1,1,1
Tennessee,1,1,2,2
Texas,1,2,2,2
Utah,1,1,2,2
Vermont,1,1,1,1
Virginia,1,1,1,1
Washington,1,1,2,2
West Virginia,1,1,1,1
Wisconsin,1,1,1,1
Wyoming,1,1,1,1